Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
10 Frans - Casino Emeraude Bagnoles-de-l'Orne,97,Smooth,-1.0,0,0,Brass,10 Frans - Casino Emeraude Bagnoles-de-l'Orne,1,29.0,Medal alignment ↑↑,0,Token/Medal,France,Milled,1.8,8.7,unknown,0,unknown
50 Soles de Oro Casa de Moneda,94,Special,17000.0,1,1,Gold,Sol (1863-1985),1,29.0,unknown,0,Non-circulating coin,Peru,Milled,1.8,23.4056,1965,0,19
100 Soles Oro,75,Special,1176.0,0,21,Bimetallic,Sol (1863-1985),1,37.0,unknown,0,Non-circulating coin,Peru,Milled,3.0,46.8071,1950.0,0,unknown
1 Franc - Louis II,20,Milled,150000.0,1,3,Copper,Ancien franc (1837-1960),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,Monaco,Milled,1.8,4.0,1924,1,19
Romanov Deposition Rouble token octagonal 1917 countermark of 1902 Rouble,92,Special,-1.0,0,0,Other,Russia - Empire - Tokens,1,25.75,Medal alignment ↑↑,0,Token/Medal,Russia,Other,1.8,28.28,1902,0,19
25 Cents - Elizabeth II July; silver,62,Milled,113645.0,1,1,Silver,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.7,5.9,1999,1,19
1 Centavo,6,Smooth,12815000.0,1,20,Bimetallic,Peso (1863-1992),1,16.0,Coin alignment ↑↓,0,Standard circulation coin,Mexico,Milled,1.25,2.0,1950.0,0,unknown
25 Cents - Elizabeth II September; silver,60,Milled,113645.0,1,1,Silver,Canadian dollar (1858-date),0,23.8,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.8,5.8319,1999,1,19
1 Dollar - Elizabeth II Cancer,94,Reeded,10000.0,0,1,Silver,Dollar of New Zealand (1987-date),0,38.61,Medal alignment ↑↑,0,Non-circulating coin,Niue,Milled,1.8,28.28,2011,1,20
50 Oyru,57,Plain,10000.0,1,1,Bimetallic,50 Oyru,-1,21.5,Medal alignment ↑↑,0,Other,Faroe Islands,Milled,1.45,3.95,2011,0,20
500 Mark - Röthenbach C. Conradty,95,Plain,2499.0,0,1,Other,Bavaria - Private issues,1,50.0,Medal alignment ↑↑,0,Standard circulation coin,Municipality of Röthenbach an der Pegnitz,Milled,5.0,28.28,1922,0,19
Token - Free Stay Redemption,93,Reeded,-1.0,0,0,Other,Token - Free Stay Redemption,-1,39.0,Medal alignment ↑↑,0,Token/Medal,Saint Kitts and Nevis,Milled,2.0,4.0,unknown,0,unknown
Ducat,100,Special,-1.0,0,0,Gold,Thaler (1621-1651),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,City of Zürich,Other,1.8,3.5,1646,0,16
½ Ducat,100,Special,-1.0,0,0,Gold,Thaler (1651-1700),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,City of Zürich,Other,1.8,1.75,1666,0,16
20 Kroner / 5 Speciedaler - Oscar II,79,Reeded,198000.0,0,2,Gold,Krone (1875-date),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,Norway,Milled,1.8,8.9606,1874.0,1,unknown
1 Cent - Elizabeth II 2nd Portrait; Farewell to the Penny,86,Smooth,5000.0,1,1,Silver,Canadian dollar (1858-date),0,19.1,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.25,2.94,2012,1,20
Thaler,97,Special,-1.0,0,0,Silver,Thaler (1700-1798),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,City of Zürich,Other,1.8,28.28,1776.0,0,unknown
2 Euro - Willem-Alexander Investiture of King Willem-Alexander,5,Reeded,19965000.0,1,3,Bimetallic,Euro (2002-date),0,25.75,Medal alignment ↑↑,0,Circulating commemorative coin,Netherlands,Milled,2.2,8.5,2013,1,20
Token - Voting Check Lancashire-Whitewell Bottom Industrial CSL,97,Milled,-1.0,0,0,Zinc,Token - Voting Check Lancashire-Whitewell Bottom Industrial CSL,-1,26.0,Medal alignment ↑↑,0,Token/Medal,United Kingdom,Other,2.0,28.28,unknown,0,unknown
25 Paisa,9,Reeded,5500000.0,0,8,Bimetallic,"Rupee (decimalized, 1961-date)",1,20.0,Medal alignment ↑↑,0,Standard circulation coin,Pakistan,Milled,1.75,4.0,1967.0,0,unknown
1 Peso Raul and Fidel Castro,72,Plain,5000.0,1,1,Copper,"Cuban Peso (moneda nacional, 1914-date)",1,38.0,Coin alignment ↑↓,0,Non-circulating coin,Cuba,Milled,1.8,26.0,2009,0,20
1 Journey - Sunderland Corporation Transport,80,Special,-1.0,0,0,Brass,1 Journey - Sunderland Corporation Transport,-1,20.0,Medal alignment ↑↑,0,Token/Medal,United Kingdom,Milled,2.0,3.0,1966.0,0,unknown
Token - Clean-baer,92,Special,-1.0,0,0,Other,Germany - Automatic Tokens,-1,22.0,Medal alignment ↑↑,0,Token/Medal,Federal Republic of Germany,Other,3.0,28.28,unknown,0,unknown
10 000 Soles de Oro Andrés A. Câceres,60,Reeded,100000.0,0,1,Silver,Sol (1863-1985),1,28.0,Medal alignment ↑↑,0,Non-circulating coin,Peru,Milled,3.2,16.81,1982,0,19
"1 Cent - Geroge V, Posthumous Farewell to the Penny 1920-1936",87,Smooth,5000.0,1,1,Silver,Canadian dollar (1858-date),0,19.1,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.25,2.94,2012,1,20
Token - Free Stay Redemption Coin,97,Reeded,-1.0,0,0,Other,Token - Free Stay Redemption Coin,-1,39.0,Medal alignment ↑↑,0,Token/Medal,Dominica,Milled,2.0,4.0,unknown,0,unknown
100 Dollars - Elizabeth II National Unity,69,Reeded,200000.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,16.965,1978,1,19
1 Dollar - Elizabeth II Iguana,93,Reeded,5000.0,0,1,Silver,Dollar (1972-date),0,35.0,Medal alignment ↑↑,0,Non-circulating coin,Cayman Islands,Milled,1.8,18.14,1992,1,19
2 Ducats,100,Special,-1.0,0,0,Gold,Thaler (1700-1798),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,City of Zürich,Other,1.8,7.0,1718.0,0,unknown
5 Qirsh,7,Smooth,-1.0,0,0,Bronze,Pound (1916-date),1,23.0,Medal alignment ↑↑,0,Standard circulation coin,Egypt,Milled,1.6,4.9,1983,0,19
20 Kroner - Oscar II,73,Reeded,109000.0,1,7,Gold,Krone (1875-date),1,23.0,Medal alignment ↑↑,0,Standard circulation coin,Norway,Milled,1.8,8.96,1876.0,1,unknown
1 Cent - Elizabeth II 4th portrait; Farewell to the Penny,87,Smooth,5000.0,1,1,Silver,Canadian dollar (1858-date),0,19.1,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.25,2.94,2012,1,20
10 Centimes,93,Special,-1.0,0,0,Bimetallic,Franc (1914-1925),1,23.0,unknown,1,Token/Medal,Commune of Saint-Sulpice,Milled,1.8,2.4,unknown,0,unknown
½ Penny Clauduis Romanus - Pax Pla Cid,97,Plain,-1.0,0,0,Copper,Evasion tokens (1751-1797),1,27.0,Coin alignment ↑↓,0,Token/Medal,United Kingdom,Other,1.8,28.28,1771,0,17
2 Dollars - Elizabeth II Alice in Wonderland,93,Reeded,15000.0,1,1,Silver,Dollar of New Zealand (1988-date),0,40.7,Medal alignment ↑↑,0,Non-circulating coin,Pitcairn Islands,Milled,2.97,31.1,2011,1,20
2 Dollars - Elizabeth II Fletcher Christian,94,Reeded,3000.0,1,1,Silver,Dollar of New Zealand (1988-date),0,40.5,unknown,0,Non-circulating coin,Pitcairn Islands,Milled,1.8,31.1,2010,1,20
5 Pfennige - Friedrich Wilhelm,77,Smooth,118200.0,1,1,Copper,Mark,1,25.0,Medal alignment ↑↑,0,Standard circulation coin,Mecklenburg-Strelitz,Milled,1.8,7.41,1872,1,18
Arcade Token - Jeutek,88,Milled,-1.0,0,0,Other,Canada - Automatic Tokens,-1,23.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,1.5,5.2,unknown,0,unknown
1 Penny - Aldershot Canteen Cavalry Brigade,95,Reeded,-1.0,0,0,Brass,1 Penny - Aldershot Canteen Cavalry Brigade,1,24.0,unknown,0,Token/Medal,United Kingdom,Other,1.8,28.28,unknown,0,unknown
10 Pounds - Elizabeth II World War I; Silver Proof,97,Reeded,355.0,1,1,Silver,"Pound sterling (decimalized, 1971-date)",0,65.0,Medal alignment ↑↑,0,Non-circulating coin,United Kingdom,Milled,1.8,156.3,2015,1,20
2 Ducats,100,Special,-1.0,0,0,Gold,Thaler (1700-1798),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,City of Zürich,Other,1.8,7.0,1776,0,17
1 Rupee - Shah Alam Bahadur Burhanpur Mint,95,Special,-1.0,0,0,Silver,Rupee (1540-1842),1,22.81,unknown,0,Standard circulation coin,Mughal Empire,Other,1.8,11.55,1119.0,0,unknown
10 Kroner - Oscar II,89,Reeded,20000.0,1,2,Gold,Krone (1875-date),1,25.75,Medal alignment ↑↑,0,Standard circulation coin,Norway,Milled,1.8,4.4803,1877.0,1,unknown
V Reis - Pedro Prince Regent,93,Special,-1.0,0,0,Copper,"Real (mechanical coinage, 1678-1835)",1,32.0,Medal alignment ↑↑,0,Standard circulation coin,Portugal,Milled,1.8,11.4,1682.0,1,unknown
2 Scudi - Angelo,90,Special,3000.0,0,1,Silver,Scudo (1962-1988),-1,39.0,Coin alignment ↑↓,0,Non-circulating coin,Order of Malta,Milled,2.0,24.0,1967,1,19
"2 Francs Ch. Petit, Paris",97,Special,-1.0,0,0,Other,France - Merchandise Tokens,1,23.0,unknown,0,Token/Medal,France,Other,1.8,1.4,unknown,0,unknown
200 Dollars - Elizabeth II Save the Children,100,Special,3000.0,1,1,Gold,Dollar (1969-date),0,25.0,Medal alignment ↑↑,0,Non-circulating coin,Fiji,Milled,1.8,10.0,1991,0,19
"½ Stuiver ""Butken""",100,Special,-1.0,0,0,Silver,Gulden (1581-1795),1,20.0,Medal alignment ↑↑,1,Standard circulation coin,Province of Friesland,Hammered,1.8,1.02,1580,0,15
Duit,86,Special,-1.0,0,0,Copper,Stevensweert - Gulden (1580-1632),1,19.0,Medal alignment ↑↑,1,Standard circulation coin,Lordship of Stevensweert,Other,1.8,1.5,1626.0,0,unknown
1 Kreuzer - Wilhelm,72,Plain,203460.0,0,2,Copper,Conventionsthaler (1806-1837),1,24.6,Medal alignment ↑↑,0,Standard circulation coin,Duchy of Nassau,Other,1.3,4.75,1817.0,1,unknown
20 Dollars - Elizabeth II Polar Bear,87,Reeded,8500.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.1,31.39,2014,1,20
10 Leva Thracian gold mask,84,Plain,10000.0,1,1,Silver,Fourth lev (1999-date),0,40.0,unknown,0,Non-circulating coin,Bulgaria,Milled,1.8,20.0,2005,0,20
Arcade Token - Atari Family Amusement Centers,79,Milled,-1.0,0,0,Bimetallic,Canada - Automatic Tokens,-1,22.87,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,1.74,5.29,unknown,0,unknown
Litra,94,Special,-1.0,0,0,Silver,Uncertain mint - Drachm,1,8.5,Variable alignment ↺,1,Standard circulation coin,Massalia,Hammered,1.8,0.86,475.0,0,unknown
1 Dollar - Elizabeth II 4th Portrait - Australian Wedge-Tailed Eagle - Silver Proof - High Relief,85,Reeded,9500.0,0,1,Silver,Dollar (1966-date),0,32.6,Medal alignment ↑↑,0,Non-circulating coin,Australia,Milled,6.0,31.1035,2015,1,20
½ Thaler,100,Special,-1.0,0,0,Silver,Thaler (1700-1798),1,25.75,unknown,0,Standard circulation coin,City of Zürich,Other,1.8,28.28,1773,0,17
1 Rupee - Shah Alam Bahadur Shahjahanabad Mint,93,Special,-1.0,0,0,Silver,Rupee (1540-1842),1,21.9,unknown,0,Standard circulation coin,Mughal Empire,Other,1.8,11.45,1119.0,0,unknown
20 Fen,45,Reeded,32300000.0,0,1,Bimetallic,Yuan (1912-1948),1,24.0,Medal alignment ↑↑,0,Standard circulation coin,Republic of China,Milled,1.8,4.87,1942,0,19
Quartinho - José I Lisboa mint,93,Special,-1.0,0,1,Gold,"Real (mechanical coinage, 1678-1835)",1,18.0,unknown,0,Standard circulation coin,Portugal,Milled,1.8,2.69,1749.0,1,unknown
1 Ort - Georg Wilhelm,76,Special,-1.0,0,0,Silver,Thaler (1618-1701),1,30.2,Medal alignment ↑↑,0,Standard circulation coin,State of Brandenburg-Prussia,Other,1.8,6.5,1622.0,1,unknown
50 Centimes - Louis-Napoléon Bonaparte,60,Reeded,1009907.0,1,1,Silver,Franc (1795-1959),1,18.0,Coin alignment ↑↓,0,Standard circulation coin,France,Milled,1.8,2.5,1852,0,18
100 Złotych Royal Castle in Warsaw,54,Plain,50177.0,1,1,Silver,Third złoty (1949-1994),1,32.0,Medal alignment ↑↑,0,Non-circulating coin,Poland,Milled,1.8,16.5,1975,0,19
3 Krajcár - I. Lipót 1657-1705,75,Smooth,-1.0,0,0,Silver,Tallér (1526-1754),1,22.0,Coin alignment ↑↓,0,Standard circulation coin,Hungary,Other,1.8,28.28,1675.0,1,unknown
2 Reales,54,Special,-1.0,0,0,Silver,Real (1568-1858),1,25.75,unknown,0,Standard circulation coin,Peru,Other,1.8,6.77,1825.0,0,unknown
8 Reales,53,Smooth,-1.0,0,0,Silver,Real (1568-1858),1,38.0,Coin alignment ↑↓,0,Standard circulation coin,Peru,Milled,1.8,27.07,1825.0,0,unknown
1 Peseta - Francisco Franco Benlliure,3,Reeded,5000.0,1,21,Bimetallic,Peseta (1868-2001),1,21.0,Coin alignment ↑↓,0,Standard circulation coin,Spain,Milled,1.2,3.5,1946.0,0,unknown
750 Jahre Osterfeld 1229-1979,95,Plain,-1.0,0,0,Other,750 Jahre Osterfeld 1229-1979,-1,38.0,Medal alignment ↑↑,0,Token/Medal,Federal Republic of Germany,Milled,1.8,28.6,1979,0,19
½ Penny - Elizabeth II 2nd portrait,12,Plain,140000.0,1,3,Bronze,"Pound (decimalized, 1971-date)",0,17.14,Medal alignment ↑↑,0,Standard circulation coin,Falkland Islands,Milled,1.1,1.782,1974.0,1,unknown
10 Öre - Gustaf V,8,Milled,3612250.0,0,9,Bimetallic,Krona (1873-date),1,15.0,Medal alignment ↑↑,0,Standard circulation coin,Sweden,Milled,1.2,1.5,1920.0,1,unknown
2½ Cents,22,Smooth,2000000.0,0,2,Bimetallic,Dollar (1882-1941),1,24.5,Medal alignment ↑↑,0,Standard circulation coin,North Borneo,Milled,1.6,4.9,1903.0,0,unknown
1 Lira - Vittorio Emanuele III,16,Smooth,5229214.0,1,3,Silver,Lira (1861-2001),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,Italy,Milled,1.8,5.0,1915.0,1,unknown
1 Escudo Independence,16,Reeded,-1.0,0,0,Brass,Escudo (1914-date),1,23.5,Medal alignment ↑↑,0,Circulating commemorative coin,Cape Verde,Milled,1.4,3.95,1985,0,19
50 Cents - George VI,8,Reeded,7290000.0,1,3,Bimetallic,Shilling (1921-1967),1,21.0,Medal alignment ↑↑,0,Standard circulation coin,East Africa,Milled,1.5,3.89,1948.0,1,unknown
5 Francs CFA,12,Smooth,7000000.0,0,5,Bimetallic,"CFA franc (Central bank of Equatorial African States and Cameroon, 1961-1973)",1,20.0,Coin alignment ↑↓,0,Standard circulation coin,Equatorial African states - Central Bank of Equatorial African states and Cameroon,Milled,1.4,3.0,1965.0,0,unknown
20 Cents - George V,22,Reeded,350000.0,1,1,Bimetallic,Dollar (1865-1949),1,23.2,Medal alignment ↑↑,0,Standard circulation coin,Newfoundland,Milled,1.8,4.7127,1912,1,19
2 Taka United Nations Literacy Decade,9,Smooth,200000000.0,0,2,Other,Taka (1972-date),0,26.03,Medal alignment ↑↑,0,Circulating commemorative coin,Bangladesh,Milled,1.9,7.0,2004.0,0,unknown
1 Farthing - George V,21,Smooth,192000.0,1,8,Bimetallic,Pound (1822-1969),1,20.2,Medal alignment ↑↑,0,Standard circulation coin,Jamaica,Milled,1.32,2.84,1914.0,1,unknown
2 Öre - Gustaf V,6,Plain,9343350.0,0,9,Iron,Krona (1873-date),1,21.0,Medal alignment ↑↑,0,Standard circulation coin,Sweden,Milled,1.5,3.5,1942.0,1,unknown
10 Dollars William J. Clinton,77,Reeded,-1.0,0,0,Bimetallic,Dollar (1943-date),0,25.75,unknown,0,Non-circulating coin,Liberia,Milled,1.8,28.28,2002,0,20
5 Pfennig - Waldsee,65,Plain,200540.0,0,1,Zinc,"Mark (notgeld, 1914-1924)",1,16.3,Medal alignment ↑↑,0,Standard circulation coin,District of Waldsee,Milled,0.9,1.0,1918,0,19
1 Peso Cuban Parrot,60,Smooth,3000.0,1,1,Bimetallic,"Cuban Peso (moneda nacional, 1914-date)",1,29.9,Coin alignment ↑↓,0,Non-circulating coin,Cuba,Milled,1.8,11.3,1985,0,19
1 Peso Cuban Crocodile,58,Smooth,3000.0,1,1,Bimetallic,"Cuban Peso (moneda nacional, 1914-date)",1,29.9,Coin alignment ↑↓,0,Non-circulating coin,Cuba,Milled,1.8,11.3,1985,0,19
20 Centavos,6,Reeded,39778000.0,0,6,Bimetallic,Peso decimalized (1847-date),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,Colombia,Milled,1.3,5.0,1956.0,0,unknown
Token - Philippe 1830-1990,93,Reeded,19000.0,0,3,Other,Belgium - Mint Tokens,-1,37.0,Medal alignment ↑↑,0,Token/Medal,Belgium,Milled,2.9,22.0,1990,0,19
2 Euro Cent - Benedictvs XVI,14,Smooth,85000.0,1,21,Copper,Euro (2002-date),0,18.75,Medal alignment ↑↑,0,Standard circulation coin,Vatican City,Milled,1.67,3.06,2006.0,1,unknown
1 Euro Cent - Benedictvs XVI,14,Smooth,85000.0,1,20,Copper,Euro (2002-date),0,16.25,Medal alignment ↑↑,0,Standard circulation coin,Vatican City,Milled,1.67,2.3,2006.0,1,unknown
2 Euro - Sede Vacante,37,Letter,60000.0,1,1,Bimetallic,Euro (2002-date),0,25.75,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.2,8.5,2005,0,20
1 Euro - Sede Vacante,39,Special,60000.0,1,1,Bimetallic,Euro (2002-date),0,23.25,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.33,7.5,2005,0,20
20 Francs,12,Plain,1200.0,1,2,Bronze,Djiboutian franc (1948-1967),1,23.5,Coin alignment ↑↓,0,Standard circulation coin,French Somaliland,Milled,1.0,3.7,1952,0,19
½ Écu - Louis XV,86,Special,-1.0,0,0,Silver,Livre tournois (987-1795),1,34.5,Coin alignment ↑↓,0,Standard circulation coin,France,Milled,3.0,15.296,1716,1,17
1 Yuan Year of the Rat,64,Special,-1.0,0,0,Brass,Second Rénmínbì (1955-date),0,25.0,unknown,0,Circulating commemorative coin,People's Republic of China,Milled,1.8,6.75,2008,0,20
1 Cent - Elizabeth II 3rd portrait; Maple Twig Design,72,Smooth,7746.0,1,1,Bimetallic,Canadian dollar (1858-date),0,19.05,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.45,2.25,2003,1,20
1 Crown - Commonwealth of England,97,Special,-1.0,0,0,Gold,Pound sterling (1158-1970),1,25.75,Coin alignment ↑↓,0,Standard circulation coin,England,Other,1.8,2.25,1649.0,0,unknown
50 Sene - Tanumafili II,30,Special,80000.0,1,2,Bimetallic,Tala (1967-date),1,31.75,Medal alignment ↑↑,0,Standard circulation coin,Samoa,Milled,1.8,13.61,1967,0,19
1 Gulden,69,Special,192580.0,0,10,Silver,Gulden (1581-1795),1,32.0,Coin alignment ↑↓,0,Standard circulation coin,Province of Utrecht,Milled,1.8,10.4,1701.0,0,unknown
20 Pesos Nonaligned Nations Conference,70,Reeded,20000.0,1,1,Silver,"Cuban Peso (moneda nacional, 1914-date)",1,38.0,Coin alignment ↑↓,0,Non-circulating coin,Cuba,Milled,2.34,26.0,1979,0,19
1 Crown - Elizabeth II Casting a Spell,63,Special,-1.0,1,0,Bimetallic,"Pound (decimalized, 1971-date)",0,38.61,Medal alignment ↑↑,0,Non-circulating coin,Isle of Man,Milled,1.8,28.28,2001,1,20
5 Pesos Orange Blossom,82,Reeded,3000.0,1,2,Silver,"Cuban Peso (moneda nacional, 1914-date)",1,30.0,Coin alignment ↑↓,0,Non-circulating coin,Cuba,Milled,2.11,12.0,1981,0,19
Monnaie de Paris Tourist Token - Sainte-Chapelle,87,Reeded,20000.0,0,1,Bimetallic,Monnaie de Paris Tourist Token - Sainte-Chapelle,-1,34.0,Medal alignment ↑↑,0,Token/Medal,France - Monnaie de Paris,Milled,2.5,15.85,2003.0,0,unknown
2 Euro Sede Vacante,22,Letter,125000.0,1,1,Bimetallic,Euro (2002-date),0,25.75,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.2,8.5,2013,0,20
1 Cent - Elizabeth II 2nd portrait,13,Smooth,117000.0,1,19,Bimetallic,Dollar (1972-date),1,17.53,Medal alignment ↑↑,0,Standard circulation coin,Cook Islands,Milled,1.29,2.07,1972.0,1,unknown
15 Centimes - Grande Taverne Belfort,97,Special,-1.0,0,0,Bimetallic,France - Restaurant Tokens,1,23.0,Coin alignment ↑↓,1,Token/Medal,France,Other,1.1,2.83,unknown,0,unknown
Token - The Eight Immortals in the legend Royal Uncle Cao - Cao Guojiu,92,Reeded,-1.0,0,0,Bimetallic,Token - The Eight Immortals in the legend Royal Uncle Cao - Cao Guojiu,-1,38.0,Medal alignment ↑↑,0,Token/Medal,People's Republic of China,Milled,1.8,19.0,unknown,0,unknown
10 Dollars - Elizabeth II Sunset,100,Reeded,1000.0,1,1,Silver,Dollar (1969-date),0,38.61,unknown,0,Non-circulating coin,Fiji,Milled,2.59,20.0,2012,0,20
1 Jital - Ghiyas-ud-din Balban,59,Plain,-1.0,0,0,Billon,Tanka (1206-1526),1,15.0,unknown,1,Standard circulation coin,Sultanate of Delhi,Other,3.0,3.6,1266.0,0,unknown
