Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
2½ Centavos,70,Smooth,1500000.0,0,2,Bimetallic,Venezolano (1871-1879),1,22.7,Coin alignment ↑↓,0,Standard circulation coin,Venezuela,Milled,1.5,4.96,1876.0,0,unknown
3 Mark - Ernst Ludwig,67,Letter,200000.0,0,2,Silver,Mark,1,33.0,Medal alignment ↑↑,0,Standard circulation coin,Grand duchy of Hessen-Darmstadt,Milled,1.8,16.667,1910,1,19
10 Euro Cent - Benedictus XVI 2nd Map,16,Special,6400.0,1,17,Bimetallic,Euro (2002-date),0,19.75,Medal alignment ↑↑,0,Standard circulation coin,Vatican City,Milled,1.93,4.1,2008.0,1,unknown
5 Rubles Russian Ballet,91,Reeded,9000.0,0,1,Other,Ruble (1961-1991),1,25.0,Medal alignment ↑↑,0,Non-circulating coin,Soviet Union,Milled,1.55,7.87,1991,0,19
1 Sucre usual design of head,8,Reeded,32000000.0,0,3,Nickel,Sucre (1884-2000),1,26.0,Coin alignment ↑↓,0,Standard circulation coin,Ecuador,Milled,2.0,6.5,1974.0,0,unknown
1 Złoty,6,Reeded,43000000.0,0,1,Other,Third złoty (1949-1994),1,25.0,Medal alignment ↑↑,0,Standard circulation coin,Poland,Milled,1.83,2.12,1949,0,19
25 Cents - Elizabeth II August,8,Reeded,18153700.0,1,1,Nickel,Canadian dollar (1858-date),0,23.8,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.1,1999,1,19
"1 Cent - George V, Posthumous Farewell to the Penny 1911-1920",87,Smooth,5000.0,1,1,Silver,Canadian dollar (1858-date),0,19.1,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,1.25,2.94,2012,1,20
10 Kreuzer - Franz Christoph,95,Special,-1.0,0,0,Silver,Thaler,1,25.0,Medal alignment ↑↑,0,Standard circulation coin,Bishopric of Speyer,Other,1.2,28.28,1770,1,17
20 Kwacha Abdication of King Edward VIII,90,Reeded,-1.0,0,0,Silver,Kwacha (1971-date),0,38.5,Medal alignment ↑↑,0,Non-circulating coin,Malawi,Milled,3.0,31.43,1998,0,19
20 Kurus - Abdülaziz Constantinople,39,Special,1055000.0,0,15,Silver,Lira (1844-1923),1,37.0,Medal alignment ↑↑,0,Standard circulation coin,Ottoman Empire,Milled,1.8,24.0,1861,1,18
5 Euro - Albert II Smurfs; colourized,77,Plain,7000.0,1,1,Silver,Euro (2002-date),0,30.0,Medal alignment ↑↑,0,Non-circulating coin,Belgium,Milled,1.8,14.6,2008,1,20
5 Baiocchi - Pius VI,82,Plain,-1.0,1,0,Copper,Perugia - Scudo,1,33.0,unknown,0,Standard circulation coin,Papal States,Other,1.8,16.76,1797.0,1,unknown
1 Cash - Gia Long Thông Bảo; zinc; 7 Phân,45,Smooth,-1.0,0,0,Zinc,Cash (970-1945),1,24.0,Medal alignment ↑↑,1,Standard circulation coin,Empire of Vietnam,Other,1.6,2.9,1802.0,1,unknown
Jeton Louis XV - États d'Artois - COMITIA ARTESIAE,94,Smooth,-1.0,0,0,Brass,France - Kingdom - Tokens,1,31.0,Coin alignment ↑↓,0,Token/Medal,France,Other,1.6,9.5,1719,0,17
Denár Bracteata - II. Géza 1141-1162,97,Smooth,-1.0,0,0,Silver,Denár (997-1310),1,13.5,unknown,1,Standard circulation coin,Hungary,Hammered,1.8,0.17,1141.0,1,unknown
